task_name,thinking_fraction
accept commissions to create music for special occasions.,
act as advisers to student organizations.,
act as an advocate for farmers or farmers' groups.,
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",
act as liaisons between on-site managers or tenants and owners.,
adapt instructional content or delivery methods for different levels or types of learners.,0.015082956
adapt or design computer hardware or software for medical science uses.,
adapt software and accompanying technical documents to another language and culture.,
adapt teaching methods and instructional materials to meet students' varying needs and interests.,0.015873017
adapt text to accommodate musical requirements of composers and singers.,
adapt the quantity of ingredients to match the amount of items to be baked.,
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",
"address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.",
"address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.",
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.064894095
"adjust controls to regulate temperature, pressure, feed, or flow of liquids or gases and times of prescribed reactions, according to knowledge of equipment and processes.",
"adjust digital files to alter print elements, such as fonts, graphics, or color separations.",
adjust sales scripts to better target the needs and interests of specific individuals.,
"adjust, maintain, or repair laboratory equipment such as microscopes.",
"adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons.",
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,
"administer highway planning, construction, or maintenance.",
administer online purchasing systems.,
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",
"administer, proctor, or score academic or diagnostic assessments.",
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",
"advise attorneys, juries, litigants, and court personnel regarding conduct, issues, and proceedings.",
"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",
"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",
advise clients about proper clothing and shoes.,
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",
advise clients on financial and legal matters such as investments and taxes.,
advise clients on how they could be helped by counseling.,
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",
advise clients on nail care and use of products and colors.,
"advise clients or community groups on issues related to improving general health, such as diet or exercise.",
