minor_group,title
11-0,Management Occupations
11-1,Top Executives; Chief Executives; Chief Executives; Chief Sustainability Officers; General and Operations Managers; General and Operations Managers; Legislators; Legislators
11-2,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers; Advertising and Promotions Managers; Advertising and Promotions Managers; Marketing and Sales Managers; Marketing Managers; Sales Managers; Public Relations and Fundraising Managers; Public Relations Managers; Fundraising Managers"
11-3,"Operations Specialties Managers; Administrative Services and Facilities Managers; Administrative Services Managers; Facilities Managers; Security Managers; Computer and Information Systems Managers; Computer and Information Systems Managers; Financial Managers; Financial Managers; Treasurers and Controllers; Investment Fund Managers; Industrial Production Managers; Industrial Production Managers; Quality Control Systems Managers; Geothermal Production Managers; Biofuels Production Managers; Biomass Power Plant Managers; Hydroelectric Production Managers; Purchasing Managers; Purchasing Managers; Transportation, Storage, and Distribution Managers; Transportation, Storage, and Distribution Managers; Supply Chain Managers; Compensation and Benefits Managers; Compensation and Benefits Managers; Human Resources Managers; Human Resources Managers; Training and Development Managers; Training and Development Managers"
11-9,"Other Management Occupations; Farmers, Ranchers, and Other Agricultural Managers; Farmers, Ranchers, and Other Agricultural Managers; Construction Managers; Construction Managers; Education and Childcare Administrators; Education and Childcare Administrators, Preschool and Daycare; Education Administrators, Kindergarten through Secondary; Education Administrators, Postsecondary; Education Administrators, All Other; Architectural and Engineering Managers; Architectural and Engineering Managers; Biofuels/Biodiesel Technology and Product Development Managers; Food Service Managers; Food Service Managers; Entertainment and Recreation Managers; Gambling Managers; Entertainment and Recreation Managers, Except Gambling; Lodging Managers; Lodging Managers; Medical and Health Services Managers; Medical and Health Services Managers; Natural Sciences Managers; Natural Sciences Managers; Clinical Research Coordinators; Water Resource Specialists; Postmasters and Mail Superintendents; Postmasters and Mail Superintendents; Property, Real Estate, and Community Association Managers; Property, Real Estate, and Community Association Managers; Social and Community Service Managers; Social and Community Service Managers; Emergency Management Directors; Emergency Management Directors; Personal Service Managers; Funeral Home Managers; Personal Service Managers, All Other; Fitness and Wellness Coordinators; Spa Managers; Miscellaneous Managers; Managers, All Other; Regulatory Affairs Managers; Compliance Managers; Loss Prevention Managers; Wind Energy Operations Managers; Wind Energy Development Managers; Brownfield Redevelopment Specialists and Site Managers"
13-0,Business and Financial Operations Occupations
13-1,"Business Operations Specialists; Agents and Business Managers of Artists, Performers, and Athletes; Agents and Business Managers of Artists, Performers, and Athletes; Buyers and Purchasing Agents; Buyers and Purchasing Agents, Farm Products; Wholesale and Retail Buyers, Except Farm Products; Purchasing Agents, Except Wholesale, Retail, and Farm Products; Claims Adjusters, Appraisers, Examiners, and Investigators; Claims Adjusters, Examiners, and Investigators; Insurance Appraisers, Auto Damage; Compliance Officers; Compliance Officers; Environmental Compliance Inspectors; Equal Opportunity Representatives and Officers; Government Property Inspectors and Investigators; Coroners; Regulatory Affairs Specialists; Customs Brokers; Cost Estimators; Cost Estimators; Human Resources Workers; Human Resources Specialists; Farm Labor Contractors; Labor Relations Specialists; Logisticians and Project Management Specialists; Logisticians; Logistics Engineers; Logistics Analysts; Project Management Specialists; Management Analysts; Management Analysts; Meeting, Convention, and Event Planners; Meeting, Convention, and Event Planners; Fundraisers; Fundraisers; Compensation, Benefits, and Job Analysis Specialists; Compensation, Benefits, and Job Analysis Specialists; Training and Development Specialists; Training and Development Specialists; Market Research Analysts and Marketing Specialists; Market Research Analysts and Marketing Specialists; Search Marketing Strategists; Miscellaneous Business Operations Specialists; Business Operations Specialists, All Other; Business Continuity Planners; Sustainability Specialists; Online Merchants; Security Management Specialists"
13-2,"Financial Specialists; Accountants and Auditors; Accountants and Auditors; Property Appraisers and Assessors; Appraisers of Personal and Business Property; Appraisers and Assessors of Real Estate; Budget Analysts; Budget Analysts; Credit Analysts; Credit Analysts; Financial Analysts and Advisors; Financial and Investment Analysts; Personal Financial Advisors; Insurance Underwriters; Financial Risk Specialists; Financial Examiners; Financial Examiners; Credit Counselors and Loan Officers; Credit Counselors; Loan Officers; Tax Examiners, Collectors and Preparers, and Revenue Agents; Tax Examiners and Collectors, and Revenue Agents; Tax Preparers; Miscellaneous Financial Specialists; Financial Specialists, All Other; Financial Quantitative Analysts; Fraud Examiners, Investigators and Analysts"
15-0,Computer and Mathematical Occupations
15-1,"Computer Occupations; Computer and Information Analysts; Computer Systems Analysts; Health Informatics Specialists; Information Security Analysts; Computer and Information Research Scientists; Computer and Information Research Scientists; Computer Support Specialists; Computer Network Support Specialists; Computer User Support Specialists; Database and Network Administrators and Architects; Computer Network Architects; Telecommunications Engineering Specialists; Database Administrators; Database Architects; Data Warehousing Specialists; Network and Computer Systems Administrators; Software and Web Developers, Programmers, and Testers; Computer Programmers; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers; Video Game Designers; Miscellaneous Computer Occupations; Computer Occupations, All Other; Web Administrators; Geographic Information Systems Technologists and Technicians; Document Management Specialists; Penetration Testers; Information Security Engineers; Digital Forensics Analysts; Blockchain Engineers; Computer Systems Engineers/Architects; Information Technology Project Managers"
