cbo_2002,descricao,familia,descricao_familia,subgrupo,descricao_subgrupo,subgrupo_principal,descricao_subgrupo_principal,grande_grupo,descricao_grande_grupo,indicador_cbo_2002_ativa
010105,Oficial General Da Aeronáutica,0101,Oficiais generais das forças armadas,010,Membros Das Forças Armadas                                                                                                        ,01,Membros Das Forças Armadas                                                                                                        ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
010110,Oficial General Do Exército,0101,Oficiais generais das forças armadas,010,Membros Das Forças Armadas                                                                                                        ,01,Membros Das Forças Armadas                                                                                                        ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
010115,Oficial General Da Marinha,0101,Oficiais generais das forças armadas,010,Membros Das Forças Armadas                                                                                                        ,01,Membros Das Forças Armadas                                                                                                        ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
010210,Oficial Do Exército,0102,Oficiais das forças armadas,010,Membros Das Forças Armadas                                                                                                        ,01,Membros Das Forças Armadas                                                                                                        ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
010205,Oficial Da Aeronáutica,0102,Oficiais das forças armadas,010,Membros Das Forças Armadas                                                                                                        ,01,Membros Das Forças Armadas                                                                                                        ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
010215,Oficial Da Marinha,0102,Oficiais das forças armadas,010,Membros Das Forças Armadas                                                                                                        ,01,Membros Das Forças Armadas                                                                                                        ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
010305,Praça Da Aeronáutica,0103,Praças das forças armadas,010,Membros Das Forças Armadas                                                                                                        ,01,Membros Das Forças Armadas                                                                                                        ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
010310,Praça Do Exército,0103,Praças das forças armadas,010,Membros Das Forças Armadas                                                                                                        ,01,Membros Das Forças Armadas                                                                                                        ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
010315,Praça Da Marinha,0103,Praças das forças armadas,010,Membros Das Forças Armadas                                                                                                        ,01,Membros Das Forças Armadas                                                                                                        ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
020110,Tenente-Coronel Da Polícia Militar,0201,Oficiais superiores da polícia militar,020,Oficiais De Polícia Militar                                                                                                       ,02,Policiais Militares                                                                                                               ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
020115,Major Da Polícia Militar,0201,Oficiais superiores da polícia militar,020,Oficiais De Polícia Militar                                                                                                       ,02,Policiais Militares                                                                                                               ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
