cbo_subgroup,class,net_jobs
Trabalhadores Em Industrias De Processos Continuos E Outras Industrias,Bottom 10 pct,16618
Gerentes,Bottom 10 pct,-313588
Trabalhadores Dos Servicos,Bottom 10 pct,4864155
Montadores De Aparelhos E Instrumentos De Precisao E Musicais,Bottom 10 pct,215
Tecnicos De Nivel Medio Em Servicos De Transportes,Bottom 10 pct,17308
Trabalhadores De Funcoes Transversais,Bottom 10 pct,1347629
Trabalhadores Da Industria Extrativa E Da Construcao Civil,Bottom 10 pct,805345
"Tecnicos Em Nivel Medio Dos Servicos Culturais, Das Comunicacoes E Dos Desportos",Bottom 10 pct,61848
Profissionais Do Ensino,Top 10 aug,73473
Profissionais Das Ciencias Sociais E Humanas,Top 10 aug,135938
"Profissionais Das Ciencias Exatas, Fisicas E Da Engenharia",Top 10 aug,155753
"Tecnicos De Nivel Medio Das Ciencias Fisicas, Quimicas, Engenharia E Afins",Top 10 aug,338290
Professores Leigos E De Nivel Medio,Top 10 aug,172138
Pesquisadores E Profissionais Policientificos,Top 10 aug,16076
"Joalheiros, Vidreiros, Ceramistas E Afins",Top 10 aug,3279
"Profissionais Das Ciencias Biologicas, Da Saude E Afins",Top 10 aug,168380
"Tecnicos De Nivel Medio Das Ciencias Fisicas, Quimicas, Engenharia E Afins",Top 10 aut,169145
Trabalhadores Do Artesanato,Top 10 aut,685
"Tecnicos Em Nivel Medio Dos Servicos Culturais, Das Comunicacoes E Dos Desportos",Top 10 aut,61848
"Comunicadores, Artistas E Religiosos",Top 10 aut,34742
Profissionais Do Ensino,Top 10 aut,73473
Profissionais Das Ciencias Sociais E Humanas,Top 10 aut,135938
Professores Leigos E De Nivel Medio,Top 10 aut,172138
"Tecnicos De Nivel Medio Das Ciencias Fisicas, Quimicas, Engenharia E Afins",Top 10 pct,338290
"Profissionais Das Ciencias Biologicas, Da Saude E Afins",Top 10 pct,168380
Professores Leigos E De Nivel Medio,Top 10 pct,172138
"Tecnicos Em Nivel Medio Dos Servicos Culturais, Das Comunicacoes E Dos Desportos",Top 10 pct,61848
Pesquisadores E Profissionais Policientificos,Top 10 pct,8038
"Joalheiros, Vidreiros, Ceramistas E Afins",Top 10 pct,3279
Profissionais Do Ensino,Top 10 pct,73473
Profissionais Das Ciencias Sociais E Humanas,Top 10 pct,135938
